Job Title,Salary Estimate,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,Easy Apply,Company Age,Min Salary,Max Salary,Avg Salary
Data Analyst,28-52 ,4.5,"UNICON International, Inc","Columbus, OH","Los Angeles, CA",1 to 50 employees,-1,Company - Private,-1,-1,$1 to $5 million (USD),-1,-1,,28.0,52,40.0
"JPSC-7975 - Data Analyst Lead- Columbus, OH (LOCAL CANDIDATES ONLY)",28-52 ,4.5,Avani Technology Solutions,"Columbus, OH","Rochester, NY",501 to 1000 employees,2008,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),-1,-1,18.0,28.0,52,40.0
Data Statistics Analyst PFK - Care Coordination,28-52 ,3.7,Nationwide Children's Hospital,"Columbus, OH","Columbus, OH",10000+ employees,1892,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$1 to $2 billion (USD),-1,-1,134.0,28.0,52,40.0
Data Analyst Junior,28-52 ,5.0,"Staffigo Technical Services, LLC","Columbus, OH","Woodridge, IL",51 to 200 employees,2008,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),-1,-1,18.0,28.0,52,40.0
Analyst: Data Analytics,28-52 ,2.5,"Avacend, Inc.","Hilliard, OH","Alpharetta, GA",51 to 200 employees,-1,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,-1,-1,,28.0,52,40.0
Information Security and Data Protection Analyst,28-52 ,4.0,"Amyx, Inc.","Columbus, OH","Reston, VA",501 to 1000 employees,1999,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),-1,-1,27.0,28.0,52,40.0
Technical Data Analyst,28-52 ,4.5,"Dedicated Tech Services, Inc.","Dublin, OH","Columbus, OH",1 to 50 employees,2008,Private Practice / Firm,IT Services,Information Technology,$1 to $5 million (USD),-1,-1,18.0,28.0,52,40.0
"Data Scientist/Programmer, Sr. Analyst - Abbott Nutrition - Columbus, OH",28-52 ,3.6,Abbott,"Columbus, OH","Abbott Park, IL",10000+ employees,1888,Company - Public,Health Care Services & Hospitals,Health Care,$10+ billion (USD),-1,-1,138.0,28.0,52,40.0
Accounting Data Analyst / Implementation Specialist,46-86 ,-1.0,"Marker, Inc.","Columbus, OH","Old Bridge, NJ",Unknown,-1,Company - Private,-1,-1,Unknown / Non-Applicable,-1,-1,,46.0,86,66.0
Information Security and Data Protection Analyst,46-86 ,-1.0,"Amyx, Iinc.","Columbus, OH",-1,-1,-1,-1,-1,-1,-1,-1,-1,,46.0,86,66.0
"Data Analyst III (Population Health , Pharmacy, SQL)",46-86 ,3.4,Buckeye Community Health Plan,"Columbus, OH","Dayton, OH",51 to 200 employees,-1,Company - Private,-1,-1,$5 to $10 million (USD),-1,-1,,46.0,86,66.0
"Data Analyst III (Population Health , Pharmacy, SQL)",46-86 ,3.4,Buckeye Health Plan,"Columbus, OH","Columbus, OH",1001 to 5000 employees,2004,Company - Public,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,-1,-1,22.0,46.0,86,66.0
Data Statistics Analyst PFK Care Coordination,46-86 ,3.7,Nationwide Childrens Hospital,"Columbus, OH","Columbus, OH",10000+ employees,1892,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$1 to $2 billion (USD),-1,-1,134.0,46.0,86,66.0
Software Engineer - Senior Data Analyst,46-86 ,3.9,"JPMorgan Chase Bank, N.A.","Columbus, OH","New York, NY",10000+ employees,1799,Company - Public,Investment Banking & Asset Management,Finance,$10+ billion (USD),-1,-1,227.0,46.0,86,66.0
Sr Data Analyst,46-86 ,4.5,Creative Financial Staffing,"Westerville, OH","Boston, MA",201 to 500 employees,1994,Company - Private,Staffing & Outsourcing,Business Services,$50 to $100 million (USD),"Robert Half, Kforce",-1,32.0,46.0,86,66.0
Analytic Consultant 4 - Data Analyst,50-86 ,3.6,Wells Fargo,"Charlotte, NC","San Francisco, CA",10000+ employees,1852,Company - Public,Banks & Credit Unions,Finance,$10+ billion (USD),-1,-1,174.0,50.0,86,68.0
Operations Data Analyst,50-86 ,3.8,Brighthouse Financial,"Charlotte, NC","Charlotte, NC",1001 to 5000 employees,2017,Company - Public,Insurance Carriers,Insurance,Unknown / Non-Applicable,-1,-1,9.0,50.0,86,68.0
Data Business Analyst,50-86 ,5.0,Payzer,"Charlotte, NC","Charlotte, NC",51 to 200 employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,-1,-1,,50.0,86,68.0
Federal - Data Analyst,50-86 ,3.9,Accenture,"Charlotte, NC","Dublin, Ireland",10000+ employees,1989,Company - Public,Consulting,Business Services,$10+ billion (USD),"Cognizant Technology Solutions, EY, McKinsey & Company",-1,37.0,50.0,86,68.0
Data Analyst,50-86 ,3.8,Tata Consultancy Services,"Charlotte, NC","Mumbai, India",10000+ employees,1968,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD),"Accenture, IBM, Infosys",-1,58.0,50.0,86,68.0
